date, pm25, pm10, o3, no2, so2, co
2017/6/7, 83, , 56, 9, 4, 7
2017/6/8, 231, , 57, 9, 19, 12
2017/6/9, 159, , 49, 11, 14, 8
2017/6/10, 140, , 55, 9, 8, 6
2017/6/11, 115, , 54, 14, 7, 10
2017/6/12, 133, , 77, 13, 8, 9
2017/6/13, 123, , 42, 10, 12, 5
2017/6/14, 120, , 57, 11, 6, 7
2017/6/15, 123, , 36, 11, 7, 15
2017/6/16, 153, , 41, 6, 5, 21
2017/6/17, 118, , 20, , 1, 3
2017/6/18, 123, , 33, 10, 3, 13
2017/6/19, 127, , 35, 9, 3, 5
2017/6/20, 90, , 33, 8, 11, 12
2017/6/21, 135, , 39, 9, 3, 12
2017/6/22, 143, , 54, 9, 9, 25
2017/6/23, 140, , 57, 6, 8, 11
2017/6/24, 155, , 37, 3, 1, 7
2017/6/25, 160, , 33, 5, 2, 14
2017/6/26, 108, , 19, 3, 1, 31
2017/6/27, 120, , , , , 
2017/6/29, 207, , 13, 6, 1, 13
2017/6/30, 82, , 34, 8, 3, 12
2017/1/2, 315, , 39, 18, 7, 37
2017/1/3, 264, , 32, 15, 7, 39
2017/1/4, 288, , 29, 17, 6, 39
2017/1/5, 281, , 23, 13, 3, 44
2017/1/6, 236, , 7, 10, 2, 
2017/1/7, 258, , 26, 10, 3, 
2017/1/8, 291, , 26, 20, 5, 10
2017/1/9, 205, , 48, 15, 9, 23
2017/1/10, 193, , 29, 21, 4, 11
2017/1/11, 210, , 31, 25, 9, 14
2017/1/12, 347, , 100, 26, 7, 15
2017/1/13, 327, , 29, 32, 12, 17
2017/1/14, 473, , 32, 27, 7, 37
2017/1/15, 297, , 24, 23, 7, 18
2017/1/16, 229, , 19, 18, 4, 10
2017/1/17, 194, , 19, 28, 13, 23
2017/1/18, 256, , 26, 23, 4, 30
2017/1/19, 205, , 25, 22, 3, 15
2017/1/20, 276, , 18, 28, 5, 30
2017/1/21, 239, , 25, 30, 11, 25
2017/1/22, 269, , 29, 29, 6, 23
2017/1/23, 222, , 34, 35, 12, 28
2017/1/24, 310, , 30, 21, 5, 56
2017/1/25, 324, , 16, 15, 2, 49
2017/1/26, 340, , 13, 10, 1, 47
2017/1/30, 233, , 30, 22, 6, 27
2017/1/31, 225, , 32, 18, 5, 32
2017/2/1, 178, , 36, 25, 9, 38
2017/2/2, 209, , 31, 25, 9, 21
2017/2/3, 218, , 33, 18, 2, 8
2017/2/4, 195, , 85, 16, 2, 20
2017/2/5, 187, , 58, 17, 3, 19
2017/2/6, 215, , 31, 18, 2, 13
2017/2/7, 168, , 35, 24, 3, 11
2017/2/8, 196, , 38, 22, 7, 31
2017/2/9, 188, , 32, 22, 3, 46
2017/2/10, 173, , 40, 32, 8, 26
2017/2/11, 224, , 44, 30, 17, 37
2017/2/12, 208, , 37, 31, 6, 13
